"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon","count","type"
"University of Alaska Museum of the North","Entomology","eaa5f19e-ff6f-4d09-8b55-4a6810e77a6c","{""recordset"":""eaa5f19e-ff6f-4d09-8b55-4a6810e77a6c""}","UAM","Insect specimens","urn:uuid:db38fdb9-9273-41e3-83b6-194645fb1c45","http://grbio.org/cool/h1ke-esxn","http://www.uaf.edu/museum/collections/ento/","http://arctos.database.museum/uam_ento_all","Coleoptera has received the greatest attention (species level identifications) but efforts continue towards the goal of having identified representatives of all ~8,400 nonmarine arthropod species in Alaska. Currently (2015) we have 2,869 species represented by identified specimens. A DNA barcode library of these is being built - we have DNA barcodes in the BOLD database for 1,138 species. Although a young collection (begun in 2000), we have recently surpassed 200,000 records representing over 1.2 million specimens (as of April 2015). Over 99% of these records have been georeferenced. Over 75% of the pinned collection has been databased; approximately 10% of the wet collection has been databased. At least one specimen of every lowest identification, in both the pinned and wet collections, has been databased so we have a complete online taxon inventory of the collection. 141,047 specimens have been identified to the species level - these represent 2,885 species Primarily (>95%) Alaska.","",228217,NA,"Coleoptera has received the greatest attention (species level identifications) but efforts continue towards the goal of having identified representatives of all ~8,400 nonmarine arthropod species in Alaska. Currently (2015) we have 2,869 species represented by identified specimens. A DNA barcode library of these is being built - we have DNA barcodes in the BOLD database for 1,138 species. Although a young collection (begun in 2000), we have recently surpassed 200,000 records representing over 1.2 million specimens (as of April 2015). Over 99% of these records have been georeferenced. Over 75% of the pinned collection has been databased; approximately 10% of the wet collection has been databased. At least one specimen of every lowest identification, in both the pinned and wet collections, has been databased so we have a complete online taxon inventory of the collection. 141,047 specimens have been identified to the species level - these represent 2,885 species","Primarily (>95%) Alaska.","228217","Derek S. Sikes","Curator","dssikes@alaska.edu","PO Box 756960, 907 Yukon Drive","Fairbanks","Alaska","99775-6960","907 Yukon Drive","Fairbanks","Alaska","99775-6960","urn:uuid:447d59d3-b1e3-4419-a2a9-ea5b36b3f26e","","","","","","",64.858,-147.8261,292318,"arthropoda"
"University of California Berkeley, Essig Museum of Entomology","Entomology","a68df423-aae9-4f4b-8a42-a36124627a53, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":""a68df423-aae9-4f4b-8a42-a36124627a53""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""ucb""}]","EMEC","","urn:uuid:8589debc-b421-4b33-93da-dc53b35dfd7e","urn:lsid:biocol.org:col:1013","http://essig.berkeley.edu/","http://essig.berkeley.edu/resources/collection_databases.shtml","","",NA,NA,"","","","Peter T. Oboyski","Senior Museum Scientist","essig.museum@gmail.com","1001 Valley Life Sciences Building #4780, University of California, Berkeley","Berkeley","California","94720-3112","1001 Valley Life Sciences Building #4780, University of California, Berkeley","Berkeley","California","94720-3112","urn:uuid:6e341c48-340e-4abc-8fe8-7d71f7fc3d67","","","","","","",37.8686,-122.2945,287685,"arthropoda"
"Mississippi State University, Mississippi Entomological Museum","Entomology","8eabbc48-2b30-419d-bd8f-eece9185eca1, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":""8eabbc48-2b30-419d-bd8f-eece9185eca1""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""memu""}]","MISSA","MEM","urn:uuid:4b876779-0e68-4fdd-a733-f21a0388a095","","http://mississippientomologicalmuseum.org.msstate.edu/","http://www.mississippientomologicalmuseum.org.msstate.edu/collection/mem/","","",NA,NA,"","","","Terence L. Schiefer","Curator","tschiefer@entomology.msstate.edu","100 Old Highway 12, Mississippi State University","Mississippi State","Mississippi","39762-9775","100 Old Highway 12, Mississippi State University","Mississippi State","Mississippi","39762-9775","urn:uuid:05069f5a-3298-4dbd-abf9-5485b1e049fa","","","","","","",33.5094,-88.4366,221942,"arthropoda"
"Michigan State University, Albert J. Cook Arthropod Research Collection","Arthropods","87017793-00dc-4f5d-b95b-09e7d17327cc","{""recordset"":""87017793-00dc-4f5d-b95b-09e7d17327cc""}","MSUC","MSUC","urn:uuid:86b48a40-ed12-11e4-b70a-002315492bbc","","http://arcent.anr.msu.edu/","","Coleoptera (general) - North America; Coleoptera (Curculionidae-Scolytinae) - World; Lepidoptera - Michigan, North America, South America, India; Hymenoptera - Great Lakes Region; Collembola - North America Michigan, Great Lakes Region (well covered), North America (mostly eastern U.S.), World (some holdings from Mexico, Central America, South America, India and others)","",1500000,NA,"Coleoptera (general) - North America; Coleoptera (Curculionidae-Scolytinae) - World; Lepidoptera - Michigan, North America, South America, India; Hymenoptera - Great Lakes Region; Collembola - North America","Michigan, Great Lakes Region (well covered), North America (mostly eastern U.S.), World (some holdings from Mexico, Central America, South America, India and others)","1500000","Gary Parsons","Collections Manager","parsonsg@msu.edu","288 Farm Lane, Rm 243 Natural Science","East Lansing","Michigan","48824-5634","288 Farm Lane, Rm 434","East Lansing","Michigan","48824-5634","urn:uuid:d0e33f75-e7b5-46e2-a80b-3d087fd452d9","","","","","","",42.6451,-84.0432,217228,"arthropoda"
"American Museum of Natural History","Invertebrate Zoology","5975bbda-cd92-4084-8a09-ce1e28e6164f","{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""amnh""}","AMNH","IZC","urn:uuid:fa60c2cd-29bd-4f76-a338-12fe7f8024d9","","http://www.amnh.org/our-research/invertebrate-zoology/collections","https://www.amnh.org/our-research/invertebrate-zoology/resources/collections-databases","The staff in the Division of Invertebrate Zoology study and archive the living non-vertebrate animals, which make up 95% of all animal species. The Division houses more than 22 million specimens, which comprises about 500,000 species. Most of these specimens are terrestrial arthropods, but there are large collections of marine and freshwater invertebrates. Strengths of the collections reflect the research of current and past curators: Arachnids (especially spiders and scorpions), aculeate (sting-bearing) Hymenoptera (including bees, wasps and ants), gall wasps (Cynipoidea), certain Diptera (especially Drosophilidae, Syrphidae and Tachinidae), Hemiptera, Isoptera (termites) and their symbiotic protists, macro-Lepidoptera (particularly of the New World), rove beetles (Staphylinidae), the primitively wingless insects (bristletails and silverfish), marine Mollusca, and fossils in amber. Research centers around field exploration, the collections, and laboratory studies using morphology and DNA sequences to examine the evolutionary relationships of a spectrum of groups from species to phyla.","",691078,TRUE,"Hemiptera, Cynipidae, Wasp Collection, Araneae, Apoidea, Amber, Scorpions, Mollusca, Cnidaria, Annelida","World-wide","Collection is estimated to be around 22.65 million specimens","Christine Johnson (general)","Curatorial Associate","cjohnson@amnh.org","Central Park West at 79th Str.","New York","","10024","Central Park West at 79th Str.","New York","NY","10024","urn:uuid:a312a5eb-8a63-4ef7-b57c-6bbea34f37c3","","","","","","",40.7866,-73.9684,202294,"arthropoda"
"Colorado State University, C.P. Gillette Museum of Arthropod Diversity","Arthropods","92dd8c8e-c048-4f0a-9b5d-2ee627d2f553, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":""92dd8c8e-c048-4f0a-9b5d-2ee627d2f553""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""csuc""}]","CSU","CSUC","urn:uuid:d3d9f08e-235b-49e9-9cf7-54d7479a7167","http://grbio.org/cool/je3k-bvrg","http://bspm.agsci.colostate.edu/01-2/gillette-museum/","","Aquatic insect orders, Hemiptera, Coleoptera, Lepidoptera, Diptera, Hymenoptera Rocky Mountains, North America","",3000000,NA,"Aquatic insect orders, Hemiptera, Coleoptera, Lepidoptera, Diptera, Hymenoptera","Rocky Mountains, North America","3000000","Boris Kondratieff","Director","boris.kondratieff@colostate.edu","Laurel Hall, Department of Bioagricultural Sciences and Pest Management, Colorado State University","Fort Collins","Colorado","80523-1177","Laurel Hall, Department of Bioagricultural Sciences and Pest Management, Colorado State University","Fort Collins","Colorado","80523-1177","urn:uuid:951bc6b4-ddae-48b5-a6d1-8508f2adaf11","","","","","","",40.5782,-105.0915,186258,"arthropoda"
"Natural History Museum of Los Angeles County","Entomology","3a0018d0-9b91-4671-82d2-b635177dace6","{""recordset"":""3a0018d0-9b91-4671-82d2-b635177dace6""}","LACM","ENT","urn:uuid:dfeca2a7-fbc4-4c8a-9e02-7e2d18d542dc","","http://www.nhm.org/site/research-collections/entomology","","","",NA,NA,"","","","Bill Mertz","Museum Database Specialist","wmertz@nhm.org","900 Exposition Blvd.","Los Angeles","California","90007","900 Exposition Blvd","Los Angeles","California","90007","urn:uuid:4c545642-5064-44c1-bb31-7a5ccc1674a3","","","","","","",34.0171,-118.2909,184364,"arthropoda"
"Texas Tech University, Museum, Natural Science Research Laboratory","Invertebrates","5e893602-84ca-4c8c-bac1-99111c777582","{""recordset"":""5e893602-84ca-4c8c-bac1-99111c777582""}","TTU","","urn:uuid:9d441784-1ecc-4cab-b959-8fe043f42cf5","","http://www.nsrl.ttu.edu/collections/Invertebrates/index.htm","http://www.nsrl.ttu.edu/search/index.htm","","",NA,NA,"","","","James C. Cokendolpher","Assistant Curator","james.cokendolpher@ttu.edu","3301 4th St, PO Box 43191","Lubbock","Texas","79409","3301 4th St, PO Box 43191","Lubbock","Texas","79409","urn:uuid:acf2c3d2-5011-4bc6-ad0e-8fee7547a0f4","","","","","","",33.61,-101.8213,172471,"arthropoda"
"University of Oklahoma, Sam Noble Oklahoma State Museum of Natural History","Recent Invertebrates","2e6b6643-ebc7-4a80-a7ea-f4dd7b9c42e7","{""recordset"":""2e6b6643-ebc7-4a80-a7ea-f4dd7b9c42e7""}","OMNH","","urn:uuid:a09a54f3-d517-476f-9a05-8490876b87bb","","http://www.snomnh.ou.edu/collections-research/invertebrates.htm","http://www.snomnh.ou.edu/db2/index.htm","Byrrhoidea, Odonata, Coleoptera, Culicidae, crayfish and freshwater mollusks Worldwide, but best representation of Oklahoma","",500000,NA,"Byrrhoidea, Odonata, Coleoptera, Culicidae, crayfish and freshwater mollusks","Worldwide, but best representation of Oklahoma","500000","Katrina Menard","Assistant Staff Curator","kmenard@ou.edu","2401 Chautauqua Ave.","Norman","Oklahoma","73012","2401 Chautauqua Ave.","Norman","Oklahoma","73012","urn:uuid:92445f26-41ef-4991-93db-3721c29262c7","","","","","","",35.1967,-97.4501,140684,"arthropoda"
"Harvard University, Museum of Comparative Zoology","Invertebrate Zoology","271a9ce9-c6d3-4b63-a722-cb0adc48863f","{""recordset"":[""271a9ce9-c6d3-4b63-a722-cb0adc48863f""],""collectioncode"":[""IZ""]}","MCZ","IZ","urn:uuid:a0b4b223-9d69-4999-b2f2-81be9b6cf263","","http://www.mcz.harvard.edu/Departments/InvertZoo/people.html","http://mczbase.mcz.harvard.edu/SpecimenSearch.cfm","","",NA,NA,"","","","Gonzalo Giribet","Curator","ggiribet@g.harvard.edu","26 Oxford St","Cambridge","Massachusetts","02138-0000","26 Oxford St","Cambridge","Massachusetts","02138-0000","urn:uuid:ff15a920-4641-4fc6-ab56-d39d3b5112d3","","","","","","",42.3784,-71.1164,137445,"arthropoda"
"Oregon State Arthropod Collection","Arthropods","e40bcf8a-0d64-4d88-a02d-fa047b195e8b, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":""e40bcf8a-0d64-4d88-a02d-fa047b195e8b""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""osac""}]","OSAC","","urn:uuid:d69ec61c-86ef-4624-a6c3-ea11d9596b42","","http://osac.science.oregonstate.edu/","","","",NA,NA,"","","","Christopher J. Marshall","Curator & Collection Manager","marshach@science.oregonstate.edu","3029 Cordley Hall, Dept. Zoology, Oregon State University","Corvallis","Oregon","97331-2914","4082 Cordley Hall, Department of Zoology, Oregon State University","Corvallis","Oregon","97331-2914","","","","","","","",44.3543,-122.7831,133487,"arthropoda"
"Brigham Young University, Monte L. Bean Life Science Museum","Arthropods","cb65cf5e-07b8-4d53-a91a-7dce9b8ccf80","{""recordset"":""cb65cf5e-07b8-4d53-a91a-7dce9b8ccf80""}","BYU","","urn:uuid:686d13f6-2a81-4e0d-8bf7-8a7cccfd794d","","http://mlbean.byu.edu/ResearchCollections/Collections/ArthropodCollection.aspx","http://specify.byu.edu/arthropod/","Plecoptera, Mecoptera, Siphonaptera, Coleoptera:Chrysomelidae. DNA grade tissues from a wide diversity of insects Western North America","",2000000,NA,"Plecoptera, Mecoptera, Siphonaptera, Coleoptera:Chrysomelidae. DNA grade tissues from a wide diversity of insects","Western North America","2000000","Michael Whiting","Curator","michael_whiting@byu.edu","645 E. 1430 N., Brigham Young University","Provo","Utah","84602","645 E. 1430 N., Brigham Young University","Provo","Utah","84602","urn:uuid:02849fea-49d2-417e-a5f2-ede719f78fdf","","","","","","",40.253,-111.6477,131601,"arthropoda"
"University of Hawaii at Manoa, Insect Museum","Insects","cf42855e-a54a-4488-a79e-beac086ba1d4","{""recordset"":""cf42855e-a54a-4488-a79e-beac086ba1d4""}","UHM","","urn:uuid:61c0a894-dcbf-11e4-ae1c-002315492bbc","","https://www.ctahr.hawaii.edu/insectmuseum/","https://www.ctahr.hawaii.edu/insectmuseum/insectholdings.htm","","",NA,NA,"","","","Daniel Rubinoff","Director of the UH Insect Museum","rubinoff@hawaii.edu","Department of Plant and Environmental Protection Sciences","Honolulu","Hawaii","96822","Department of Plant and Environmental Protection Sciences","Honolulu","Hawaii","96822","urn:uuid:0858660f-b164-46d1-8343-59f8a7dec1d0","","","","","","",21.3202,-157.8108,125307,"arthropoda"
"North Carolina State University Insect Museum","Insects","5975bbda-cd92-4084-8a09-ce1e28e6164f","{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""ncsu""}","NCSU","","urn:uuid:8fb49210-2017-4e0c-9d86-eecacfab1b0a","","http://insectmuseum.org","http://specimens.insectmuseum.org/public/specimen","","",NA,NA,"","","","Robert Blinn","Collection Manager","bob_blinn@ncsu.edu","Department of Entomology, NC State University, Box 7613","Raleigh","North Carolina","27695","Department of Entomology, NC State University, 4321 Gardner Hall","Raleigh","North Carolina","27695","","","","","","","",35.7884,-78.671,116013,"arthropoda"
"Santa Barbara Museum of Natural History","Invertebrate Zoology","bf897c17-06cc-48c1-a7cc-f41b45166880","{""recordset"":""bf897c17-06cc-48c1-a7cc-f41b45166880""}","SBMNH","","urn:uuid:3d21d529-dbde-4a13-bdac-19b7ede0808e","http://grbio.org/cool/2jyb-hcyc","http://www.sbnature.org/crc/48.html","http://www.sbcollections.org/","","",NA,NA,"","","","Michael Caterino","Curator & Department Chair","mcaterino@sbnature2.org","Santa Barbara Museum of Natural History, 2559 Puesta del Sol","Santa Barbara","California","93105","Santa Barbara Museum of Natural History, 2559 Puesta del Sol","Santa Barbara","California","93105","urn:uuid:55f075d8-8f18-4bdc-a710-f26bfbdb6ebd","","","","","","",34.4414,-119.7134,112709,"arthropoda"
"University of Colorado Museum of Natural History","Entomology","82541f90-fe8e-4d66-84d8-4fe515dc5533","{""recordset"":""82541f90-fe8e-4d66-84d8-4fe515dc5533""}","UCM","Ent","urn:uuid:fa398d57-9320-41e9-89a3-6784355a2da4","http://grbio.org/cool/1s58-wraz","https://cumuseum.colorado.edu/research/entomology","https://cumuseum.colorado.edu/research/entomology/databases","","",NA,NA,"","","","M. Deane Bowers","Curator","deane.bowers@colorado.edu","University of Colorado Museum, Henderson Building, 15th and Broadway","Boulder","Colorado","80309-0218","University of Colorado Museum, Henderson Building, 15th and Broadway","Boulder","Colorado","80309-0218","urn:uuid:95b63d9a-13b5-4124-8fb1-54d3ab4be3bc","","","","","","",40.0373,-105.2821,100748,"arthropoda"
"Denver Museum of Nature & Science","Insects","55b17f44-8c6b-4dc5-a31d-d9955b425790","{""recordset"":""55b17f44-8c6b-4dc5-a31d-d9955b425790""}","DMNS","","urn:uuid:7abab24c-6a25-42db-b5ce-f64a86860236","","http://www.dmns.org/science/collections/dmns-zoology-collections/","","Worldwide in scope though with a focus on the American West, the Entomology collection at the Denver Museum of Nature & Science comprises over 1,000,000 specimens and specimen lots. It contains over 950,000 specimens, with Coleoptera (750,000+ specimens) and Lepidoptera (130,000+ specimens) as primary foci. The holdings include at least 18 primary types and 150 paratypes, and dates of collection span from 1878 to the present. The dung beetle collection is the largest in the United States, and our scarab holdings are particularly strong in African as well as regional material. The Colorado Scarab Survey and the Colorado Microlepidoptera Survey, both long-term projects initiated and conducted by DMNS, are steadily growing our regional holdings and our knowledge of the Colorado fauna. The collection is housed in the Avenir Collections Center - an onsite state-of-the-art museum collections facility.","",NA,TRUE,"","","1,000,000 specimens and specimen lots","Frank Krell","Curator of Entomology","frank.krell@dmns.org","2001 Colorado Blvd","Denver","Colorado","80205","2001 Colorado Blvd","Denver","Colorado","80205","urn:uuid:75a457ae-5214-4b6a-9eab-178d6cf4a780","","","","","","",39.7583,-104.9406,97395,"arthropoda"
