"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon","count","type"
"University of California Riverside","Herbarium","dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5","[{""recordset"":""0b17c21a-f7e2-4967-bdf8-60cf9b06c721"",""institutioncode"":""UCR""},{""recordset"":""dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5""}]","UCR<IH>","UCR-","urn:uuid:158eb658-1c5c-4c46-ae82-c3086a90fc90","urn:lsid:biocol.org:col:15736","http://www.herbarium.ucr.edu","http://ucr.ucr.edu/UCRindex.html","Vascular plants (mostly), lichens and fungi; many relatively recent collections and almost all have good label data.  We have nearly completed the georeferencing of the whole collection.","",274000,TRUE,"Mostly vascular plants, but a substantial collection of lichens as well.","North, Central and South America, but strongest for western US, esp. California, & NW Mexico.","","Andrew Sanders","Curator","Andrew.Sanders@ucr.edu","Botany and Plant Sciences Department","Riverside","California","92521-0124","900 University Avenue.","Riverside","California","92521-0124","urn:uuid:5eb51140-80e9-4d65-bb14-3e753daed011","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126626","","",33.9703,-117.3239,421582,"plantae"
"University of Washington, Burke Museum of Natural History and Culture","Herbarium","9368e302-f8e7-4714-aed4-db2faa861e5c, beecd160-a96c-46fc-bdce-7dcb7024d473, f1a78c0f-449c-45fa-9472-0b92cc2a58da, 4ef6540c-e6cf-4678-bc43-b57435354de0, 8b0c1f4b-9de7-4521-98c2-983e0bfd33c7","{""recordset"":[""9368e302-f8e7-4714-aed4-db2faa861e5c"",""beecd160-a96c-46fc-bdce-7dcb7024d473"",""f1a78c0f-449c-45fa-9472-0b92cc2a58da"",""4ef6540c-e6cf-4678-bc43-b57435354de0"",""8b0c1f4b-9de7-4521-98c2-983e0bfd33c7""]}","WTU<IH>","","urn:uuid:b059b2ea-8686-4ade-adde-276c6c66c817","urn:lsid:biocol.org:col:15642","https://www.burkemuseum.org/herbarium","http://biology.burkemuseum.org/herbarium/collections/search.php","Vascular Plants - Cyperaceae, Juncaceae, Lamiaceae, Orobanchaceae; Fungi - Cortinarius, Inocybe Primary geographic focus is Pacific Northwest (Alaska, Yukon Territory, British Columbia, Washington, Oregon, Idaho, Montana). Secondary geographic focus is remaining areas of western North America and Russian Far East.","",650000,NA,"Vascular Plants - Cyperaceae, Juncaceae, Lamiaceae, Orobanchaceae; Fungi - Cortinarius, Inocybe","Primary geographic focus is Pacific Northwest (Alaska, Yukon Territory, British Columbia, Washington, Oregon, Idaho, Montana). Secondary geographic focus is remaining areas of western North America and Russian Far East.","650000","Richard Olmstead","Curator","olmstead@u.washington.edu","Box 353010, University of Washington","Seattle","Washington","98195-3010","17th Avenue NE and NE 45th Street., University of Washington","Seattle","Washington","98195-3010","urn:uuid:fd2c8337-ad3e-485e-93ba-7b0292dbd2eb","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126887","","",47.6649,-122.3131,406334,"plantae"
"University of Minnesota, James Ford Bell Museum of Natural History","Plants","e2def7e2-1455-4856-9823-6d3738417d24, 9ef17d55-0498-44cf-9da4-dde3e3acb570","{""recordset"":[""e2def7e2-1455-4856-9823-6d3738417d24"",""9ef17d55-0498-44cf-9da4-dde3e3acb570""]}","MIN","","urn:uuid:c8436f08-219b-49f5-aef6-cd96d720844f","urn:lsid:biocol.org:col:15598","http://www.bellmuseum.umn.edu/ResearchandTeaching/Collections/ScientificCollection/PlantCollection/index.htm","http://search.bellmuseum.umn.edu/","","",NA,NA,"","","","Anita F. Cholewa","Curator","chole001@umn.edu","J. F. Bell Museum of Natural History, 1445 Gortner Avenue","St. Paul","Minnesota","55108-1095","","St. Paul","Minnesota","55108-1095","urn:uuid:4848eb86-ab0e-40ba-af27-de63fd2197ad","","","","","","",44.9162,-93.1874,316488,"plantae"
"Missouri Botanical Garden","Bryophytes","5386d272-06c6-4027-b5d5-d588c2afe5e5","{""recordset"":""5386d272-06c6-4027-b5d5-d588c2afe5e5"",""phylum"":[""bryophyta"",""marchantiophyta"",""anthocerotophyta"",""charophyta"",""rhodophyta""]}","MO<IH>","MO","urn:uuid:e3d1be3b-2f8b-44d8-afea-19fc60077cea","urn:lsid:biocol.org:col:15859","http://www.mobot.org/","http://www.tropicos.org","North American and tropical bryophytes Worldwide","",555667,NA,"North American and tropical bryophytes","Worldwide","555667","Bruce H. Allen","Curator","bruce.allen@mobot.org","P.O. Box 299, P.O. Box 299","Saint Louis","Missouri","63166-0299","4344 Shaw Boulevard, Saint Louis, Missouri 63110, U.S.A., 4344 Shaw Blvd.","Saint Louis","Missouri","63166-0299","urn:uuid:c203364b-cd39-4435-996d-94ff2e93edc1","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125279","","",38.5811,-90.2256,312109,"plantae"
"University of Colorado Museum of Natural History","Botany","7809d96b-7edf-4ef7-9f12-59967e9a01a6, 995cc7f1-69c3-4317-ab77-28fd48f1e535, a2b36fdf-50bc-44ef-a6a4-ca6dc1dc148a","{""recordset"":[""7809d96b-7edf-4ef7-9f12-59967e9a01a6"",""995cc7f1-69c3-4317-ab77-28fd48f1e535"",""a2b36fdf-50bc-44ef-a6a4-ca6dc1dc148a""]}","COLO<IH>","","urn:uuid:523cf0f7-4f34-4500-bba2-0a765e0ac2a4","urn:lsid:biocol.org:col:34854","https://cumuseum.colorado.edu/research/botany","http://cumuseum-archive.colorado.edu/Research/Botany/Databases/search.php","","",NA,NA,"","","","Erin Tripp","Curator","erin.tripp@colorado.edu","University of Colorado Museum, Henderson Building, 15th and Broadway","Boulder","Colorado","80309-0218","University of Colorado Museum, Henderson Building, 15th and Broadway","Boulder","Colorado","80309-0218","urn:uuid:95b63d9a-13b5-4124-8fb1-54d3ab4be3bc","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126641","","",40.0373,-105.2821,308646,"plantae"
"Academy of Natural Sciences of Drexel University","Botany","7110b8ba-0ead-4666-8279-e30f53e343d0, e39f6dee-f2cf-4eff-afc9-4600cafe660c, 65536dcd-7bb2-44e5-af3f-4a13f08e53d0","{""recordset"":[""7110b8ba-0ead-4666-8279-e30f53e343d0"",""e39f6dee-f2cf-4eff-afc9-4600cafe660c"",""65536dcd-7bb2-44e5-af3f-4a13f08e53d0""]}","PH<IH>","","urn:uuid:3a6a685a-a52f-420f-999f-e8b91017e189","urn:lsid:biocol.org:col:14589","http://www.ansp.org/research/systematics-evolution/collections/botany/","http://ph.ansp.org/","Scrophulariaceae, Polemoniaceae, Pandanaceae, Rutaceae, Cyperacea North America","",1450840,NA,"Scrophulariaceae, Polemoniaceae, Pandanaceae, Rutaceae, Cyperacea","North America","1450840","Jordan Teisher","Collections Manager","ans_ph_herbarium@drexel.edu","Botany Department, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","urn:uuid:305b87cb-0ddf-4721-ab53-31820e511e35","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=123882","","",39.958,-75.1714,300935,"plantae"
"University of Vermont, The Pringle Herbarium","Herbarium","f33e9494-7b3c-4ac6-a735-59693b5a9638, fd14095c-3658-4e00-8cec-729a89459e92, 401fec56-515d-4fa8-87d1-507e742f4f6f, ba54ba45-caac-4708-a389-ac94642976f8, 3027c437-cdb3-4072-9410-5a46ec3b1fd5, 6d4b658a-90b4-4639-8b06-b7f07637f6aa","{""recordset"":[""f33e9494-7b3c-4ac6-a735-59693b5a9638"",""fd14095c-3658-4e00-8cec-729a89459e92"",""401fec56-515d-4fa8-87d1-507e742f4f6f"",""ba54ba45-caac-4708-a389-ac94642976f8"",""3027c437-cdb3-4072-9410-5a46ec3b1fd5"",""6d4b658a-90b4-4639-8b06-b7f07637f6aa""]}","VT<IH>","","urn:uuid:d270b66d-51ef-403e-8acc-2fb300d426e5","urn:lsid:biocol.org:col:15545","http://www.uvm.edu/~plantbio/pringle/","","","",NA,NA,"","","","David S. Barrington","Director","david.barrington@uvm.edu","Torrey Hall, 27 Colchester Ave.","Burlington","Vermont","05405-0000","27 Colchester Ave.","Burlington","Vermont","05405-0000","urn:uuid:31ba7aa4-687c-4617-a648-28d0839a1271","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126880","","",44.4805,-73.1996,282439,"plantae"
"Yale University, Peabody Museum of Natural History","Botany","6cab4420-11e4-4b55-85ac-6ecfdda70184, 7a8d946d-083f-4d2a-9cc9-cd590398194f, e1b03497-7632-4ba4-a9e0-dd230d06638c, 1527b668-b797-42be-94d3-0058e1393e94","{""recordset"":[""6cab4420-11e4-4b55-85ac-6ecfdda70184"",""7a8d946d-083f-4d2a-9cc9-cd590398194f"",""e1b03497-7632-4ba4-a9e0-dd230d06638c"",""1527b668-b797-42be-94d3-0058e1393e94""]}","YPM","YU","urn:uuid:f08f270d-f59e-4b3c-88c8-654e08832a0b","","http://peabody.yale.edu/collections/botany","http://peabody.yale.edu/collections/search-collections?bot","Global Marchantiophyta & Bryophyta; North American Monilophyta; North American Spermatophyta, but particularly strong in northeastern North America and western United States","",360000,NA,"Global Marchantiophyta & Bryophyta; North American Monilophyta; North American Spermatophyta, but particularly strong in northeastern North America and western United States","Global","360,000","Patrick Sweeney","Collections Manager","patrick.sweeney@yale.edu","Yale University, PO Box 208118","New Haven","Connecticut","06511-0000","170-210 Whitney Avenue","New Haven","Connecticut","06511-0000","urn:uuid:8eb8c789-898c-4e9e-9c26-68768c612a6d","","","","","","",41.3167,-72.9204,241977,"plantae"
"Arizona State University Vascular Plant Herbarium","Herbarium","40250f4d-7aa6-4fcc-ac38-2868fa4846bd, 2d47501f-dbed-43ce-a9c3-9c8542648ce4, 433d3c37-8dde-42e4-a344-2cb6605c5da2","{""recordset"":[""40250f4d-7aa6-4fcc-ac38-2868fa4846bd"",""2d47501f-dbed-43ce-a9c3-9c8542648ce4"",""433d3c37-8dde-42e4-a344-2cb6605c5da2""]}","ASU<IH>","ASU","urn:uuid:ea9d24ec-0104-4c0f-81d9-d3df9ed8f4d1","urn:lsid:biocol.org:col:15600","http://nhc.asu.edu/vpherbarium/","http://swbiodiversity.org/seinet/index.php","Cactaceae, American Myrtaceae; general floristics Worldwide with emphasis on Southwestern US and South America","",NA,NA,"Cactaceae, American Myrtaceae; general floristics","Worldwide with emphasis on Southwestern US and South America","","Elizabeth Makings","Curator, vascular plants","elizabeth.makings@asu.edu","School of Life Sciences, P.O. Box 874501","Tempe","Arizona","85287-4501","734 West Alameda Drive","Tempe","Arizona","85282","urn:uuid:313ac73c-6372-41a6-a1da-bf270c2b1b2e","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=123983","","",33.4002,-111.9493,241731,"plantae"
"University of South Florida","Herbarium","0072bf11-a354-4998-8730-c0cb4cfc9517, 1c8ec291-8067-4b48-848b-410c2c768420, 07c47dd3-a0a9-434a-b144-71c32996f278, f1cf8457-237e-487a-9d13-5de7d81b9de4, 837d99c6-3045-4ba3-8951-643ddb3d6676","{""recordset"":[""0072bf11-a354-4998-8730-c0cb4cfc9517"",""1c8ec291-8067-4b48-848b-410c2c768420"",""07c47dd3-a0a9-434a-b144-71c32996f278"",""f1cf8457-237e-487a-9d13-5de7d81b9de4"",""837d99c6-3045-4ba3-8951-643ddb3d6676""]}","USF<IH>","","urn:uuid:6dde3ee5-7c86-43e5-b596-a5a6e0898c95","urn:lsid:biocol.org:col:15638","http://biology.usf.edu/cmmb/research/herbarium.aspx","http://florida.plantatlas.usf.edu/Specimen.aspx","Particularly well represented groups include Apocynaceae, Begoniaceae, Bromeliaceae, Fabaceae, Orchidaceae, marine algae Worldwide in scope, especially Florida, rest of the continental U.S.A., and the Neotropics","",285000,NA,"Particularly well represented groups include Apocynaceae, Begoniaceae, Bromeliaceae, Fabaceae, Orchidaceae, marine algae","Worldwide in scope, especially Florida, rest of the continental U.S.A., and the Neotropics","285000","Alan R. Franck","Curator","afranck@mail.usf.edu","ISA 2015, Department of Cell Biology, Microbiology, and Molecular Biology, 4202 East Fowler Avenue","Tampa","Florida","33620-5150","CMC 9-11, 4202 East Fowler Avenue","Tampa","Florida","33620-5150","urn:uuid:32d13f79-8ccb-45f3-b733-d22fe2971025","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126824","","",28.0125,-82.4605,220038,"plantae"
"Vanderbilt University at BRIT","Herbarium","72d4c3c7-3413-4588-a803-e1a63e0d7c6c","{""recordset"":""72d4c3c7-3413-4588-a803-e1a63e0d7c6c""}","VDB<IH>","","urn:uuid:bcf2e021-7125-4d8b-8944-58e126442c66","","","","","",NA,NA,"","","","Tiana Rehman","Collection Manager","trehman@brit.org","1700 University Drive","Fort Worth","Texas","76107-3400","1700 University Drive","Fort Worth","Texas","76107-3400","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126936","","",32.7417,-97.3615,218279,"plantae"
"University of Connecticut Biodiversity Research Collections, The George Safford Torrey Herbarium","Herbarium","abe3903e-ceba-4864-aa5d-bd985c70fa21, fc40fabd-0a70-48fa-b142-79990cd259a5, d1b25dcd-472e-4902-b53c-3b164269e049, e70af26a-fb9e-43ab-96a0-d62a2df37e6d","{""recordset"":[""abe3903e-ceba-4864-aa5d-bd985c70fa21"",""fc40fabd-0a70-48fa-b142-79990cd259a5"",""d1b25dcd-472e-4902-b53c-3b164269e049"",""e70af26a-fb9e-43ab-96a0-d62a2df37e6d""]}","CONN","","urn:uuid:e93344c2-0fc3-4e7e-ae9d-86bb37ba933b","","http://bgbaseserver.eeb.uconn.edu/","http://bgbaseserver.eeb.uconn.edu/database.html","Angiosperms, gymnosperms, ferns and fern allies, algae, bryophytes and lichens. Particularly strong collections of aquatic plants and invasive species. Worldwide, although the majority of the specimens are from northeastern North America, especially New England.","",210000,NA,"Angiosperms, gymnosperms, ferns and fern allies, algae, bryophytes and lichens. Particularly strong collections of aquatic plants and invasive species.","Worldwide, although the majority of the specimens are from northeastern North America, especially New England.","210000","Dr. Robert S. Capers","Collection Manager","Robert.Capers@uconn.edu","Biological Collections, Department of Ecology and Evolutionary Biology, University of Connecticut Unit 3040","Storrs","Connecticut","06269-3043","Biological Collections, Department of Ecology and Evolutionary Biology, University of Connecticut Unit 3040","Storrs","Connecticut","06269-3043","urn:uuid:07d27dc2-aa7c-4b93-afdb-ebe5f1d92bba","","","","","","",41.8186,-71.8834,186724,"plantae"
